"date","value","measurement","city_code","mma"
"1965/10/15",19.8837401691123,"wind","innt",NA
"1965/10/17",23.256060328939,"wind","innt",NA
"1965/10/20",26.87088181362,"wind","innt",NA
"1965/10/22",30.1287195576628,"wind","innt",NA
"1965/10/24",31.599987806651,"wind","innt",NA
"1965/10/25",27.4911668566016,"wind","innt",NA
"1965/10/28",23.8270692347735,"wind","innt",NA
"1965/11/01",23.6835122472811,"wind","innt",NA
"1965/11/05",22.4602135711974,"wind","innt",NA
"1965/11/09",20.7429773344401,"wind","innt",NA
"1965/11/10",18.1421134825611,"wind","innt",NA
"1965/11/12",25.6025784243379,"wind","innt",NA
"1965/11/10",22.3600930446323,"wind","innt",NA
"1965/11/12",29.165482504889,"wind","innt",NA
"1965/11/15",22.14103296425,"wind","innt",NA
"1965/11/18",22.7342037508618,"wind","innt",NA
"1965/11/22",23.7614502581707,"wind","innt",NA
"1965/11/26",24.6231223414982,"wind","innt",NA
"1965/11/30",25.4027087993772,"wind","innt",NA
"1965/12/03",26.2563745421632,"wind","innt",NA
"1965/12/07",27.108389493085,"wind","innt",NA
"1965/12/10",27.8832299243543,"wind","innt",NA
"1965/12/14",28.8908732782756,"wind","innt",NA
"1965/12/18",29.7335612551645,"wind","innt",NA
"1965/12/21",30.6675999268399,"wind","innt",NA
"1965/12/25",31.4617339880224,"wind","innt",NA
"1965/12/28",31.8490510291655,"wind","innt",NA
"1965/12/31",31.3572526196159,"wind","innt",NA
"1966/01/03",31.3400706276292,"wind","innt",NA
"1966/01/07",29.6266724819562,"wind","innt",NA
"1966/01/09",28.5241498656387,"wind","innt",NA
"1966/01/14",27.1810243351107,"wind","innt",NA
"1966/01/17",26.2522475625026,"wind","innt",NA
"1966/01/20",25.319962857183,"wind","innt",NA
"1966/01/23",24.4947732740549,"wind","innt",NA
"1966/01/27",23.3414888079125,"wind","innt",NA
"1966/02/01",22.1857281539739,"wind","innt",NA
"1966/02/03",21.1120943952802,"wind","innt",NA
"1966/02/07",20.115635156239,"wind","innt",NA
"1966/02/10",19.1587123823459,"wind","innt",NA
"1966/02/14",18.1009468604471,"wind","innt",NA
"1966/02/17",17.1358526668261,"wind","innt",NA
"1966/02/20",16.1104013956694,"wind","innt",NA
"1966/02/24",14.8543551359793,"wind","innt",NA
"1966/02/27",17.0144162903143,"wind","innt",NA
"1966/02/27",20.1711430326735,"wind","innt",NA
"1966/03/02",14.2644033935028,"wind","innt",NA
"1966/03/03",9.64259887164621,"wind","innt",NA
"1966/03/07",8.74498079547533,"wind","innt",NA
"1966/03/10",7.43862665372291,"wind","innt",NA
"1966/03/11",6.56407839385452,"wind","innt",NA
"1966/03/14",9.78807490468085,"wind","innt",NA
"1966/03/18",10.3377885954669,"wind","innt",NA
"1966/03/19",8.80193311479098,"wind","innt",NA
"1966/03/23",9.23423423423424,"wind","innt",NA
"1966/03/29",9.45057050804058,"wind","innt",NA
"1966/04/01",9.69831309706376,"wind","innt",NA
"1966/04/05",10.1980903339571,"wind","innt",NA
"1966/04/08",13.8573456329834,"wind","innt",NA
"1966/04/08",17.9545422569889,"wind","innt",NA
"1966/04/11",10.1349475451505,"wind","innt",NA
"1966/04/11",8.19712424553654,"wind","innt",NA
"1966/04/12",3.92673204177623,"wind","innt",NA
"1966/04/16",3.51960549826242,"wind","innt",NA
"1966/04/20",3.96457644526356,"wind","innt",NA
"1966/04/24",5.28809882240392,"wind","innt",NA
"1966/04/25",12.4920719782771,"wind","innt",NA
"1966/04/25",8.48229854008093,"wind","innt",NA
